0,1,2,3,4,5,6,7,8,9
17,10,17,21,11,7,32,12,3,
31,17,11,23,,,,,,
5,11,,,,,,,,
6,26,30,17,22,,,,,
9,30,,,,,,,,
10,9,8,27,5,11,14,6,,
3,20,,,,,,,,
6,29,25,17,7,34,,,,
35,28,20,9,17,29,8,6,23,
26,24,14,19,,,,,,
34,28,26,22,21,10,,,,
18,,,,,,,,,
34,23,,,,,,,,
16,12,19,18,32,,,,,
14,16,21,7,9,7,21,,,
27,26,24,,,,,,,
18,19,20,13,8,6,10,25,,
29,23,25,6,,,,,,
32,,,,,,,,,
23,,,,,,,,,
6,31,13,16,10,21,10,8,,
21,18,,,,,,,,
8,21,18,24,27,28,33,17,1,
32,1,,,,,,,,
22,1,36,32,36,23,,,,
13,16,,,,,,,,
16,32,33,32,33,24,1,,,
2,29,24,29,6,30,,,,
18,,,,,,,,,
8,12,20,26,23,25,24,28,,
15,11,14,,,,,,,
24,11,8,9,,,,,,
11,2,1,,,,,,,
22,7,11,16,,,,,,
28,30,6,,,,,,,
4,28,35,,,,,,,
7,21,31,33,24,,,,,
10,21,24,31,13,19,32,,,
15,14,17,9,8,7,8,9,,
3,18,10,19,20,30,32,26,1,
35,,,,,,,,,
5,3,18,16,13,,,,,
2,17,7,8,,,,,,
8,15,,,,,,,,
13,20,2,14,12,6,28,2,23,27
8,14,8,24,,,,,,
26,22,29,27,,,,,,
6,12,11,8,9,,,,,
24,17,2,25,24,33,,,,
8,11,35,34,35,6,9,20,,
3,1,3,16,18,10,18,,,
2,11,15,16,6,35,22,21,13,
13,1,4,,,,,,,
12,,,,,,,,,
8,18,36,17,19,10,34,33,,
31,19,8,19,5,36,6,16,,
14,,,,,,,,,
4,14,11,15,12,33,1,30,25,32
2,10,9,17,20,19,,,,
35,2,9,8,6,8,27,22,6,
28,4,5,1,2,3,26,,,
7,19,,,,,,,,
17,16,34,11,2,6,7,8,10,
5,20,31,,,,,,,
15,13,,,,,,,,
5,8,13,8,6,,,,,
20,4,,,,,,,,
23,30,35,34,,,,,,
28,3,5,18,20,23,9,18,,
12,27,21,11,3,11,16,14,12,17
4,6,22,15,7,21,23,26,,
33,4,27,23,5,,,,,
30,14,8,21,7,6,10,12,,
3,,,,,,,,,
7,,,,,,,,,
26,10,29,21,32,,,,,
13,33,27,,,,,,,
17,18,22,24,28,13,36,,,
23,,,,,,,,,
31,,,,,,,,,
11,19,16,4,5,1,21,32,19,
14,29,28,21,30,,,,,
4,1,4,13,7,35,29,20,33,35
11,,,,,,,,,
11,16,11,7,2,9,,,,
22,2,,,,,,,,
34,,,,,,,,,
17,2,29,35,,,,,,
8,6,14,29,8,,,,,
29,13,8,31,15,30,28,,,
12,24,21,8,11,13,22,,,
1,2,1,11,14,23,30,25,36,
31,18,20,18,21,19,20,25,19,17
27,31,6,33,,,,,,
33,15,,,,,,,,
20,9,2,17,35,34,,,,
23,28,29,22,,,,,,
25,19,2,27,20,19,,,,
17,9,,,,,,,,
10,28,29,28,24,29,24,,,
36,32,9,2,20,3,27,7,,
1,30,,,,,,,,
30,31,13,31,20,,,,,
6,7,17,14,7,,,,,
22,1,4,9,8,17,4,1,,
3,,,,,,,,,
35,20,17,9,21,7,,,,
18,13,15,,,,,,,
9,10,4,3,2,10,,,,
16,,,,,,,,,
31,14,35,36,32,,,,,
23,26,24,16,28,30,29,5,2,
19,36,,,,,,,,
23,3,9,1,30,28,29,24,,
9,26,11,16,9,8,,,,
20,33,36,20,9,12,16,19,,
25,2,19,30,17,18,31,8,13,5
27,26,30,8,35,32,6,10,,
6,3,5,7,6,19,,,,
1,9,17,23,3,14,,,,
13,11,12,13,8,33,34,,,
22,28,31,12,9,,,,,
11,8,4,26,24,28,5,36,,
16,6,32,8,14,,,,,
15,10,18,26,4,18,,,,
29,34,14,33,,,,,,
25,23,30,28,16,,,,,
27,26,22,27,25,28,32,16,34,22
3,30,,,,,,,,
26,19,1,8,19,,,,,
27,4,,,,,,,,
3,5,25,22,23,11,13,14,33,25
11,32,35,34,33,13,32,,,
29,23,22,28,19,17,18,16,,
5,22,,,,,,,,
17,10,,,,,,,,
11,,,,,,,,,
29,3,11,,,,,,,
34,14,,,,,,,,
32,,,,,,,,,
36,6,11,6,14,12,8,,,
1,7,,,,,,,,
3,14,12,24,27,3,14,,,
32,33,35,13,8,,,,,
21,15,18,19,18,29,16,14,15,13
20,,,,,,,,,
30,28,27,28,27,25,29,24,10,
4,19,17,20,17,35,17,20,23,26
27,7,6,10,9,,,,,
13,16,19,15,7,16,6,27,24,22
36,15,11,12,14,,,,,
6,11,12,5,,,,,,
9,33,13,27,24,25,24,6,,
1,20,17,19,1,3,32,,,
26,29,35,,,,,,,
27,,,,,,,,,
21,28,30,28,21,10,2,5,7,
1,5,2,32,18,,,,,
14,10,8,15,21,,,,,
1,30,22,21,12,,,,,
1,11,15,20,9,25,23,,,
34,,,,,,,,,
7,35,30,,,,,,,
13,8,12,26,,,,,,
8,19,32,4,2,3,19,2,24,23
13,20,19,18,,,,,,
20,8,1,,,,,,,
18,15,10,,,,,,,
12,10,16,13,6,20,,,,
7,13,14,29,21,10,,,,
31,12,,,,,,,,
26,10,9,12,11,6,18,,,
6,27,26,23,22,5,34,,,
2,4,20,19,10,9,35,7,,
18,22,4,7,18,8,16,,,
29,,,,,,,,,
8,15,11,15,8,,,,,
17,19,29,25,36,35,33,32,33,
9,25,29,24,,,,,,
34,5,28,27,28,14,5,8,,
23,27,32,13,31,25,7,6,,
8,11,31,16,11,13,,,,
10,9,5,18,17,7,8,12,,
18,10,33,,,,,,,
2,18,8,12,11,27,,,,
3,27,24,29,7,8,6,,,
3,9,,,,,,,,
14,6,15,12,3,2,,,,
17,,,,,,,,,
36,35,20,31,35,,,,,
21,17,29,6,26,,,,,
24,23,,,,,,,,
3,25,,,,,,,,
32,28,27,13,25,33,35,33,24,
30,,,,,,,,,
28,21,8,,,,,,,
24,29,30,24,7,32,16,13,21,
35,15,13,6,24,22,18,10,18,
12,5,3,5,3,7,18,,,
14,31,18,31,8,21,8,7,13,21
25,4,27,29,,,,,,
19,21,5,15,28,6,7,6,16,
1,4,26,6,2,3,4,2,36,14
9,29,25,23,5,17,20,28,27,28
10,8,25,1,2,1,8,15,8,9
18,6,14,16,15,10,18,31,6,
22,19,18,21,10,19,,,,
22,23,25,36,34,33,27,24,27,
24,10,,,,,,,,
6,24,10,8,17,10,8,19,,
22,28,24,28,25,24,25,26,13,
3,,,,,,,,,
3,16,12,,,,,,,
18,15,23,28,29,19,18,2,31,
11,12,30,26,27,23,22,2,8,
10,17,28,,,,,,,
19,27,25,24,12,14,15,16,13,
24,22,,,,,,,,
26,22,32,34,15,21,5,,,
36,35,36,31,8,31,15,16,8,
9,33,34,35,23,26,23,32,,
19,20,19,31,6,5,21,27,28,
8,22,26,25,12,9,10,8,,
31,17,9,,,,,,,
16,13,3,2,4,30,6,,,
4,6,,,,,,,,
20,32,7,11,,,,,,
12,15,23,35,,,,,,
34,32,36,11,,,,,,
5,18,25,8,3,19,16,20,18,29
20,19,,,,,,,,
26,,,,,,,,,
22,,,,,,,,,
20,14,15,13,8,21,28,21,9,20
27,,,,,,,,,
7,11,15,,,,,,,
7,29,7,14,22,24,28,20,1,5
36,34,8,9,2,5,20,,,
31,13,,,,,,,,
31,12,31,2,10,,,,,
22,25,23,8,,,,,,
22,27,15,8,19,1,23,3,9,27
8,12,1,23,,,,,,
31,18,9,,,,,,,
8,12,17,3,27,1,3,21,24,
32,31,30,1,7,12,24,25,27,
28,3,14,13,11,35,6,28,30,
3,5,2,9,22,23,,,,
20,32,6,24,23,18,,,,
22,24,32,25,22,23,5,26,35,
10,7,6,22,,,,,,
11,7,6,8,,,,,,
25,23,15,5,,,,,,
6,11,6,14,6,31,11,13,,
5,27,24,29,,,,,,
6,31,13,19,8,,,,,
13,,,,,,,,,
15,26,35,,,,,,,
4,14,16,12,13,,,,,
25,26,27,20,9,11,15,16,15,29
1,3,29,,,,,,,
7,2,13,12,16,3,18,19,,
26,25,1,7,4,8,7,23,10,
36,,,,,,,,,
34,9,,,,,,,,
19,12,27,,,,,,,
29,,,,,,,,,
32,35,16,8,12,17,10,8,24,29
14,16,6,13,16,12,15,7,16,
28,29,33,3,,,,,,
6,3,23,22,33,3,,,,
24,6,36,4,5,2,10,9,12,
15,3,27,34,,,,,,
17,8,,,,,,,,
11,13,5,,,,,,,
28,27,1,17,,,,,,
13,27,1,3,12,16,13,25,22,
23,27,22,27,3,5,,,,
8,19,33,29,24,29,,,,
5,23,2,5,10,21,26,4,12,
2,13,31,20,33,28,30,4,34,
34,36,2,13,9,17,,,,
29,,,,,,,,,
13,14,36,1,4,19,,,,
8,16,17,32,36,21,16,9,23,
32,14,11,31,12,21,,,,
26,,,,,,,,,
17,9,12,14,3,2,32,34,,
14,26,22,31,21,12,7,9,2,
3,1,5,11,16,6,13,,,
14,16,,,,,,,,
10,,,,,,,,,
7,6,24,1,31,23,32,36,,
13,33,10,17,13,3,4,30,28,
30,24,4,5,18,31,16,33,8,16
25,24,28,21,17,27,26,30,28,30
24,20,14,11,30,13,17,36,1,
35,36,27,25,29,25,5,,,
10,6,,,,,,,,
7,12,28,15,,,,,,
32,4,3,4,20,11,16,12,,
10,8,1,17,8,21,23,8,9,
26,23,24,29,24,3,,,,
28,30,,,,,,,,
34,32,34,13,15,6,,,,
32,33,22,25,23,5,4,,,
21,25,12,22,32,36,,,,
32,36,35,27,,,,,,
32,8,14,27,29,12,,,,
13,15,9,17,,,,,,
35,34,15,3,,,,,,
15,22,8,35,33,32,25,26,,
1,21,19,35,7,16,,,,
22,21,13,36,13,16,,,,
21,6,31,12,,,,,,
21,29,28,31,11,12,11,12,,
3,17,3,5,12,15,7,16,6,
34,35,36,10,22,26,22,,,
10,7,17,9,32,25,23,25,16,
17,8,10,,,,,,,
10,2,5,31,13,31,12,24,28,26
25,26,14,15,13,8,3,4,,
19,20,10,21,33,23,14,17,,
31,30,6,12,,,,,,
5,3,18,31,26,14,1,5,24,
6,16,33,8,28,19,8,12,31,
34,33,2,3,2,18,21,31,,
3,1,2,17,15,6,23,,,
5,2,24,29,33,35,13,16,6,11
15,19,7,12,,,,,,
9,2,9,16,14,15,11,,,
3,32,33,9,10,6,8,21,12,
20,13,6,27,5,27,,,,
1,3,13,,,,,,,
29,6,8,,,,,,,
22,21,11,16,29,,,,,
11,7,21,35,22,10,,,,
10,,,,,,,,,
30,28,15,,,,,,,
24,25,9,35,,,,,,
33,,,,,,,,,
25,13,1,,,,,,,
34,5,32,34,3,1,33,2,9,12
33,,,,,,,,,
3,27,5,2,1,14,,,,
6,8,11,33,32,,,,,
34,33,4,,,,,,,
5,2,22,1,30,,,,,
28,27,26,34,33,31,6,12,5,30
14,18,21,17,,,,,,
19,20,12,24,,,,,,
35,33,14,2,,,,,,
27,22,4,1,3,,,,,
31,30,18,10,15,,,,,
25,9,24,33,36,26,22,,,
15,18,10,,,,,,,
2,10,18,9,20,17,,,,
1,16,7,,,,,,,
12,29,2,5,3,25,1,2,26,
20,22,33,,,,,,,
33,7,2,3,16,13,10,2,14,1
17,12,15,12,21,34,,,,
22,26,27,,,,,,,
5,4,36,15,1,30,24,25,,
32,33,18,17,32,19,10,32,19,17
17,16,22,23,,,,,,
20,19,10,4,2,14,,,,
27,7,,,,,,,,
25,29,30,7,21,,,,,
25,10,24,28,10,5,6,14,11,13
4,7,19,20,9,20,25,29,17,
11,13,25,,,,,,,
9,2,4,22,5,35,34,13,14,16
16,10,2,8,36,31,11,,,
19,10,11,28,,,,,,
22,,,,,,,,,
4,2,20,,,,,,,
3,15,11,6,12,6,9,,,
31,1,,,,,,,,
27,31,18,15,,,,,,
10,35,14,30,1,23,22,25,26,25
32,35,28,9,5,,,,,
6,31,18,10,,,,,,
10,9,7,17,29,27,25,34,36,
23,7,4,,,,,,,
27,28,18,3,5,32,8,19,,
3,21,,,,,,,,
30,21,8,32,36,23,9,23,22,26
25,23,22,23,24,34,33,16,14,16
30,3,,,,,,,,
4,15,31,13,15,13,,,,
7,28,32,33,6,15,,,,
31,5,9,30,32,,,,,
10,23,27,29,25,24,16,24,4,24
2,17,11,7,21,8,4,,,
3,,,,,,,,,
9,2,3,,,,,,,
21,22,4,13,32,,,,,
7,31,20,19,25,26,20,9,2,
36,31,30,14,33,,,,,
23,26,32,35,32,33,24,16,15,13
13,,,,,,,,,
25,29,12,9,3,,,,,
32,34,28,17,20,31,,,,
8,14,35,29,30,1,29,1,2,
4,,,,,,,,,
30,12,6,31,6,8,,,,
22,31,36,6,27,29,28,,,
8,14,,,,,,,,
19,13,14,,,,,,,
9,13,31,25,,,,,,
25,9,20,19,,,,,,
19,31,27,22,27,14,,,,
8,15,33,35,10,18,,,,
34,33,11,12,,,,,,
13,,,,,,,,,
3,16,15,8,15,36,32,5,4,11
26,25,16,,,,,,,
29,14,8,6,33,34,36,22,,
24,28,24,22,,,,,,
13,16,,,,,,,,
30,18,19,,,,,,,
23,33,26,22,24,33,36,18,2,
5,17,36,25,,,,,,
3,8,19,8,22,23,21,14,15,4
3,28,3,9,10,2,4,6,17,
32,17,13,31,11,21,25,,,
17,8,21,18,,,,,,
2,10,7,15,6,23,26,22,4,18
34,15,4,28,31,12,,,,
14,13,,,,,,,,
15,20,19,10,8,17,,,,
6,19,1,16,29,30,,,,
33,5,32,16,24,25,23,25,21,
34,36,6,17,27,,,,,
27,29,5,3,,,,,,
33,6,19,18,30,23,24,21,14,11
20,35,,,,,,,,
8,,,,,,,,,
10,30,5,36,18,17,,,,
28,15,8,29,15,31,22,25,9,
28,29,7,21,22,27,17,8,21,12
6,12,36,,,,,,,
7,26,18,,,,,,,
27,23,,,,,,,,
5,12,14,11,26,,,,,
7,12,,,,,,,,
27,16,12,,,,,,,
10,12,9,36,35,21,14,13,8,25
2,4,1,3,28,21,30,21,,
29,21,8,28,21,18,12,,,
28,27,2,10,17,9,21,,,
27,30,13,32,29,27,23,,,
2,12,11,32,25,23,21,,,
32,19,27,15,31,18,35,,,
21,27,25,34,35,34,25,21,17,27
17,12,10,18,9,10,36,,,
6,11,8,31,20,9,18,2,9,
23,22,27,26,23,27,5,,,
5,1,30,24,26,,,,,
8,32,34,33,6,2,,,,
23,22,34,15,,,,,,
2,18,,,,,,,,
23,,,,,,,,,
23,6,30,10,17,,,,,
12,16,31,23,29,,,,,
1,,,,,,,,,
15,17,,,,,,,,
24,23,26,27,,,,,,
5,27,23,25,,,,,,
10,19,14,12,29,34,,,,
14,16,8,6,12,7,17,7,8,11
1,3,5,4,12,11,,,,
14,13,10,12,17,9,20,9,15,
8,,,,,,,,,
1,,,,,,,,,
19,17,26,6,,,,,,
24,26,20,25,27,,,,,
2,,,,,,,,,
15,8,4,12,16,15,6,29,,
10,21,2,10,6,14,24,35,,
12,9,33,26,3,1,4,20,18,20
30,,,,,,,,,
8,12,7,19,8,15,16,19,17,
31,7,24,14,7,,,,,
23,28,5,2,1,10,,,,
17,,,,,,,,,
9,,,,,,,,,
2,4,11,14,11,10,18,8,12,
14,13,1,4,1,30,14,11,15,
24,,,,,,,,,
22,25,9,8,,,,,,
31,8,12,24,,,,,,
19,35,26,22,24,25,22,24,,
19,20,18,6,31,,,,,
36,14,3,20,29,5,4,1,31,12
21,23,5,3,28,,,,,
12,10,2,4,17,19,,,,
6,,,,,,,,,
7,,,,,,,,,
35,26,14,23,10,17,8,,,
20,23,14,,,,,,,
11,22,19,20,9,8,9,24,30,
25,12,3,33,5,4,33,2,,
10,34,,,,,,,,
9,,,,,,,,,
15,32,36,35,,,,,,
21,31,,,,,,,,
33,7,8,13,15,,,,,
16,12,6,,,,,,,
16,27,14,,,,,,,
12,11,15,35,30,17,34,35,29,12
19,4,,,,,,,,
24,25,21,9,2,17,21,32,,
27,4,17,26,27,,,,,
3,14,7,12,23,,,,,
9,29,32,23,22,13,24,10,19,
2,5,18,30,12,6,,,,
26,25,22,2,5,4,,,,
5,22,27,22,33,8,5,3,,
5,4,6,35,32,33,16,11,13,
9,8,36,16,14,13,26,34,,
27,5,16,36,25,26,23,25,36,7
20,18,,,,,,,,
36,24,20,,,,,,,
27,3,5,31,8,,,,,
10,4,1,4,23,,,,,
28,6,21,17,1,,,,,
20,22,23,4,35,9,27,1,8,
23,13,15,7,13,15,36,33,27,29
6,,,,,,,,,
16,2,,,,,,,,
29,1,5,4,,,,,,
24,1,15,33,36,34,36,35,6,
34,6,24,,,,,,,
4,2,,,,,,,,
25,8,16,,,,,,,
27,2,6,30,10,9,17,29,15,
1,16,12,7,,,,,,
27,28,6,13,34,24,29,,,
21,28,29,30,27,1,22,,,
29,25,3,5,1,22,29,6,3,
14,36,32,,,,,,,
24,,,,,,,,,
19,18,8,11,29,,,,,
31,27,16,34,36,17,18,22,24,8
6,12,,,,,,,,
12,36,32,35,,,,,,
7,11,6,9,,,,,,
18,9,2,,,,,,,
8,17,24,,,,,,,
36,32,,,,,,,,
10,,,,,,,,,
29,25,26,11,12,6,19,,,
26,19,35,19,16,31,10,,,
12,13,28,29,28,30,16,,,
27,3,14,15,19,,,,,
28,5,3,34,33,36,33,15,12,
12,11,2,3,14,,,,,
16,13,,,,,,,,
30,22,26,11,16,15,11,34,35,
22,26,10,26,5,4,2,9,,
34,17,23,27,29,24,18,8,3,27
10,,,,,,,,,
23,,,,,,,,,
30,19,7,3,1,,,,,
6,8,22,28,29,20,31,8,14,
31,6,11,,,,,,,
14,7,25,26,24,,,,,
19,32,33,35,30,,,,,
1,3,28,29,19,24,20,2,29,
29,,,,,,,,,
30,11,15,,,,,,,
1,3,16,24,33,36,,,,
14,20,17,19,10,9,33,31,29,22
20,4,1,6,,,,,,
8,17,12,6,31,11,6,,,
20,22,8,10,,,,,,
35,19,17,19,23,28,32,14,9,16
10,36,,,,,,,,
28,21,17,21,1,22,23,22,15,35
31,8,27,6,,,,,,
6,24,1,,,,,,,
32,17,2,19,14,12,6,29,15,
15,12,28,21,32,27,29,23,9,
35,32,34,36,35,33,34,19,18,20
26,22,33,13,25,26,,,,
18,2,5,33,6,12,27,11,17,11
2,5,15,11,18,31,,,,
8,31,8,14,34,36,32,11,,
18,13,33,5,,,,,,
3,9,12,31,,,,,,
1,3,14,7,10,14,1,5,2,
17,18,25,36,33,12,8,35,33,35
26,4,2,3,6,5,1,4,20,
34,14,12,17,,,,,,
26,27,29,21,16,6,31,6,17,20
29,11,15,16,6,7,6,12,16,
7,5,1,4,2,10,19,,,
17,9,20,24,27,34,13,8,31,12
23,26,22,4,29,,,,,
19,34,2,11,,,,,,
13,35,32,16,23,16,13,,,
6,9,17,8,21,28,,,,
3,4,33,4,24,,,,,
5,18,24,30,1,8,24,,,
17,,,,,,,,,
20,32,34,15,,,,,,
35,34,12,14,31,21,,,,
22,28,3,27,34,5,10,9,17,6
8,31,32,15,,,,,,
34,36,24,26,23,25,24,26,24,1
16,,,,,,,,,
11,6,22,26,24,35,8,5,22,
5,16,3,11,12,17,30,28,,
27,26,,,,,,,,
19,3,31,12,8,11,35,19,,
19,27,25,,,,,,,
34,35,27,23,,,,,,
9,12,7,10,,,,,,
34,35,34,28,30,20,19,25,27,3
14,16,33,,,,,,,
35,1,,,,,,,,
7,17,18,15,11,14,6,28,33,17
27,24,28,6,17,,,,,
35,10,,,,,,,,
26,25,6,13,20,,,,,
18,17,,,,,,,,
19,25,23,12,,,,,,
29,34,22,32,34,36,35,34,25,
24,,,,,,,,,
9,17,9,10,9,20,31,18,,
11,32,26,22,26,25,5,,,
8,13,29,31,6,8,19,18,6,
8,7,8,11,19,13,35,34,,
25,23,10,,,,,,,
26,19,8,15,26,21,8,24,28,
30,21,28,,,,,,,
9,3,1,,,,,,,
36,17,,,,,,,,
20,19,16,11,34,,,,,
23,1,17,,,,,,,
31,36,,,,,,,,
27,34,14,21,23,30,,,,
14,8,26,22,35,1,3,,,
31,6,26,23,,,,,,
32,36,32,34,16,15,8,14,,
33,,,,,,,,,
21,31,24,33,14,4,34,6,,
32,5,3,4,1,13,8,17,18,
4,1,15,8,11,8,14,8,17,18
29,28,27,26,10,3,18,17,,
20,27,33,,,,,,,
10,18,19,22,,,,,,
32,19,17,18,10,22,32,2,,
4,27,20,1,20,,,,,
14,11,,,,,,,,
2,32,23,,,,,,,
23,25,9,10,33,30,,,,
31,,,,,,,,,
26,18,11,29,31,,,,,
1,,,,,,,,,
34,35,5,34,,,,,,
5,16,13,8,15,34,32,24,,
6,12,31,,,,,,,
26,23,28,20,23,26,25,,,
1,21,31,1,3,27,32,21,7,30
24,1,7,13,11,6,,,,
3,30,27,12,6,14,12,,,
8,16,24,,,,,,,
1,30,7,6,,,,,,
18,20,28,25,,,,,,
19,,,,,,,,,
15,32,26,23,27,29,27,12,9,34
10,5,35,1,33,35,30,35,14,8
19,2,35,32,2,,,,,
13,,,,,,,,,
7,,,,,,,,,
28,30,21,18,27,3,,,,
30,33,6,33,,,,,,
22,5,2,18,20,,,,,
25,26,22,13,11,,,,,
11,31,16,14,13,24,25,22,11,
22,29,27,23,27,,,,,
27,3,7,30,1,25,33,7,9,21
28,35,34,21,,,,,,
10,5,1,27,23,14,13,11,27,
29,12,,,,,,,,
10,24,28,7,16,15,20,33,20,
34,23,27,6,20,19,17,12,15,16
21,13,16,17,9,7,12,,,
9,31,6,14,15,,,,,
14,13,15,19,10,20,18,14,15,5
12,,,,,,,,,
29,32,18,22,,,,,,
23,22,25,29,2,,,,,
25,2,,,,,,,,
28,12,31,6,,,,,,
32,34,26,24,,,,,,
25,29,33,22,,,,,,
15,7,9,34,13,,,,,
13,,,,,,,,,
29,35,7,,,,,,,
14,35,32,14,16,11,22,6,8,18
4,14,12,26,23,22,21,12,,
25,27,24,,,,,,,
3,2,18,16,8,15,32,34,35,36
15,,,,,,,,,
6,14,27,26,7,,,,,
12,6,7,8,21,15,14,12,,
24,33,35,34,33,36,25,,,
4,27,24,9,25,,,,,
12,9,14,,,,,,,
15,30,,,,,,,,
20,18,10,21,23,,,,,
6,36,9,35,15,4,1,4,2,
33,17,2,9,4,,,,,
19,27,18,25,8,9,20,9,29,
23,9,12,10,17,8,20,,,
27,18,13,11,9,25,22,12,31,
30,28,,,,,,,,
4,31,7,23,17,19,20,18,21,
34,,,,,,,,,
36,21,17,19,16,13,11,,,
28,30,21,8,10,6,,,,
30,1,2,28,11,,,,,
32,36,34,,,,,,,
17,6,21,,,,,,,
31,6,28,3,21,32,33,36,26,16
14,13,30,12,14,16,6,,,
22,23,26,25,3,2,,,,
18,8,23,4,,,,,,
3,5,20,,,,,,,
3,28,9,12,10,8,11,34,,
4,1,30,12,17,25,22,21,,
11,13,,,,,,,,
23,24,26,11,32,36,10,12,14,
1,28,29,28,24,10,19,,,
19,15,16,29,35,28,,,,
1,15,11,25,35,32,,,,
9,4,11,13,6,,,,,
5,35,3,12,21,9,23,,,
28,,,,,,,,,
15,11,,,,,,,,
26,13,20,19,6,13,34,33,25,
36,2,14,6,31,12,6,29,,
15,11,,,,,,,,
30,2,28,,,,,,,
13,10,21,7,11,32,33,24,11,31
22,23,25,14,16,14,12,28,21,
7,,,,,,,,,
6,19,30,,,,,,,
21,6,13,14,18,25,8,17,,
21,13,33,32,,,,,,
35,17,29,24,17,31,,,,
30,28,27,33,6,7,11,20,17,4
21,10,,,,,,,,
17,9,3,4,21,30,21,,,
2,6,22,13,,,,,,
34,28,29,2,28,16,19,9,15,
3,18,9,23,22,23,4,1,5,30
13,14,,,,,,,,
24,34,11,14,11,36,34,35,28,
6,13,31,,,,,,,
14,32,3,4,1,4,25,12,31,30
34,36,22,7,20,17,,,,
23,24,16,,,,,,,
13,34,33,35,12,23,22,28,3,
13,,,,,,,,,
17,13,16,22,24,26,,,,
20,9,,,,,,,,
20,12,35,36,18,4,34,32,7,
34,23,20,1,5,2,5,2,,
25,11,21,12,16,15,16,25,,
17,12,31,19,22,,,,,
31,4,25,29,26,,,,,
23,14,15,13,16,34,,,,
16,29,18,8,26,30,,,,
3,4,30,28,3,5,27,26,17,18
20,,,,,,,,,
36,33,21,5,36,35,16,18,,
5,4,2,13,11,20,,,,
1,2,33,27,10,12,10,,,
30,,,,,,,,,
32,18,17,20,9,,,,,
29,24,29,14,15,8,19,26,10,8
4,2,10,18,12,6,36,33,,
27,25,28,9,24,3,,,,
32,35,20,24,29,25,,,,
30,21,10,8,13,29,17,,,
29,27,31,,,,,,,
8,35,29,27,2,15,31,6,2,
6,,,,,,,,,
6,8,6,12,,,,,,
16,11,6,12,17,18,17,9,10,12
7,,,,,,,,,
10,18,5,7,12,30,13,,,
27,22,25,,,,,,,
14,17,18,24,28,,,,,
29,23,26,23,34,36,14,11,15,12
5,18,19,17,11,10,24,13,,
28,24,34,36,35,36,21,,,
36,33,35,22,27,3,28,29,13,14
26,23,16,8,17,30,1,,,
3,27,4,1,22,25,21,10,,
12,2,1,2,10,,,,,
16,24,21,19,10,29,26,2,,
32,15,34,36,,,,,,
15,36,14,13,,,,,,
9,10,,,,,,,,
18,33,32,19,12,,,,,
23,13,,,,,,,,
21,12,14,11,10,17,,,,
28,15,22,25,,,,,,
7,,,,,,,,,
36,9,1,34,32,,,,,
19,18,21,7,6,30,3,17,9,36
35,28,2,34,33,25,,,,
13,6,26,33,9,20,13,26,36,
19,10,21,19,5,,,,,
29,8,32,18,24,26,1,,,
